chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr5_hap1_hsa6,102926000,102927000,Central,9.365396517,8.805582607,0.54627423,LOC134810241,lncRNA,uncharacterized LOC134810241,0,70.7,
chr5_hap1_hsa6,17704000,17705000,Central,8.834331107,8.805208911,0.557023243,ADTRP,protein_coding,androgen dependent TFPI regulating protein,0,99.5,
chr23_hap1_hsa22,49928000,49929000,Eastern,15.03493981,8.804676227,0.951070408,LOC134809706,lncRNA,uncharacterized LOC134809706,1.9,93.3,
chr11_hap1_hsa9,114040000,114041000,Central,8.97791271,8.803166947,0.58777499,LOC134807693,lncRNA,uncharacterized LOC134807693,4,97,
chr6_hap1_hsa7,9972000,9973000,Eastern,12.80747152,8.799835652,0.553905666,SDK1,protein_coding,sidekick cell adhesion molecule 1,0,82.1,
chr7_hap1_hsa8,144775000,144776000,Central,8.873764817,8.799430047,0.568687341,ZFAT,protein_coding,zinc finger and AT-hook domain containing,0,82.1,
chr7_hap1_hsa8,11667000,11668000,Western,14.78937019,8.797444011,0.721475447,CSMD1,protein_coding,CUB and Sushi multiple domains 1,0,99.9,
chr4_hap1_hsa5,178394000,178395000,Eastern,16.11622521,8.791961268,0.89618852,BTNL8,protein_coding,butyrophilin like 8,3,25.3,
chr4_hap1_hsa5,177803000,177804000,Eastern,11.75852254,8.759984507,0.729908673,GFPT2,protein_coding,glutamine-fructose-6-phosphate transaminase 2,2,20.4,
chr9_hap1_hsa11,28675000,28676000,Eastern,12.47844911,8.759148888,0.534438835,LUZP2,protein_coding,leucine zipper protein 2,1.1,99.8,Munby & Przeworski
chr11_hap1_hsa9,103599000,103600000,Eastern,11.92302489,8.758168518,0.754599044,TYRP1,protein_coding,tyrosinase related protein 1,0,100,
chr1_hap1_hsa1,3098000,3099000,Eastern,11.57354033,8.751818097,0.638300249,SMYD3,protein_coding,SET and MYND domain containing 3,1.3,90.4,
chr1_hap1_hsa1,228446000,228447000,Eastern,12.71264903,8.748111103,0.842818047,WRAP73,protein_coding,WD repeat containing%2C antisense to TP73,0,31,
chr4_hap1_hsa5,7738000,7739000,Eastern,11.4685032,8.740169971,0.391034092,LOC107974611,lncRNA,uncharacterized LOC107974611,0,88.5,
chr8_hap1_hsa10,134686000,134687000,Eastern,14.49063962,8.732054746,0.609572444,DMBT1,protein_coding,deleted in malignant brain tumors 1,0,22.5,
chr18_hap1_hsa16,54642000,54643000,Eastern,11.27443242,8.711783494,0.680676846,MT1M,protein_coding,metallothionein 1M,1.6,22.7,
chr20_hap1_hsa19,57549000,57550000,Western,14.61198124,8.700097319,0.767494447,LOC100608180,protein_coding,leukocyte immunoglobulin-like receptor subfamily B member 3-like,2.1,86.7,
chr2_hap1_hsa3,6596000,6597000,Eastern,15.31260559,8.697562196,0.399534656,CNTN4,protein_coding,contactin 4,4.7,95.4,
chr17_hap1_hsa18,26781000,26782000,Eastern,12.80949957,8.690510774,0.441819419,DLGAP1,protein_coding,DLG associated protein 1,2.4,97.5,
chr10_hap1_hsa12,25432000,25433000,Eastern,11.4029057,8.689739061,0.736633146,PIK3C2G,protein_coding,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,0.1,91.8,
chr1_hap1_hsa1,216042000,216043000,Eastern,11.11276141,8.684394803,0.384967437,TMEM51,protein_coding,transmembrane protein 51,2.8,55.7,
chr16_hap1_hsa15,7109000,7110000,Eastern,13.18697334,8.682627516,0.779743513,LOC100613625,protein_coding,putative golgin subfamily A member 8G,2.9,59.4,
chr8_hap1_hsa10,13144000,13145000,Eastern,10.67206825,8.680839239,0.692769544,DIP2C,protein_coding,disco interacting protein 2 homolog C,1.8,45,
chr9_hap1_hsa11,136468000,136469000,Eastern,11.44035436,8.678642911,0.667198371,LOC100614081,protein_coding,uncharacterized LOC100614081,3.4,98.9,
chr6_hap1_hsa7,173146000,173147000,Western,16.40285857,8.672024509,0.956144419,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2,0,43.2,
chr18_hap1_hsa16,2784000,2785000,Western,14.81156969,8.669924552,1.028327731,RAB11FIP3,protein_coding,RAB11 family interacting protein 3,3.2,53.2,
chr9_hap1_hsa11,9701000,9702000,Eastern,10.93535216,8.667783243,0.434863054,LOC129136401,protein_coding,olfactomedin-4-like,0,100,
chr4_hap1_hsa5,84338000,84339000,Eastern,12.53245012,8.650325721,0.591244872,LOC112209196,lncRNA,uncharacterized LOC112209196,0,88.5,
chr6_hap1_hsa7,162128000,162129000,Eastern,12.64632595,8.642322982,0.581320326,CNTNAP2,protein_coding,contactin associated protein 2,0,76.3,
chr14_hap1_hsa13,118491000,118492000,Eastern,12.18001439,8.632429962,0.558048491,ATP11A,protein_coding,ATPase phospholipid transporting 11A,0,35.9,
chr19_hap1_hsa17,11340000,11341000,Eastern,13.22421271,8.624288361,0.843368584,NXN,protein_coding,nucleoredoxin,4.2,22.4,
chr4_hap1_hsa5,176626000,176627000,Eastern,10.58903202,8.621155971,0.731215312,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2,0,43,
chr8_hap1_hsa10,26789000,26790000,Eastern,11.40584616,8.613834077,0.737394344,FRMD4A,protein_coding,FERM domain containing 4A,2.1,84.6,
chr20_hap1_hsa19,56170000,56171000,Eastern,15.64379407,8.600783228,1.019800424,ZNF845,protein_coding,zinc finger protein 845,3.4,29.5,
chr20_hap1_hsa19,55368000,55369000,Western,14.43553381,8.600245097,0.800447264,ZNF578,protein_coding,zinc finger protein 578,3.2,33.2,
chr3_hap1_hsa4,24121000,24122000,Eastern,11.21237155,8.59653058,0.527117908,LOC461139,protein_coding,cytosolic beta-glucosidase,3.8,94.9,
chr20_hap1_hsa19,57369000,57370000,Eastern,10.71885469,8.583552874,0.723851971,KIR3DX1,protein_coding,killer cell immunoglobulin-like receptor%2C three domains%2C X1,1.3,34.1,
chr5_hap1_hsa6,179304000,179305000,Eastern,12.00204743,8.573469829,0.640223708,TCP10L2,protein_coding,t-complex 10 like 2,3.5,43.1,
chr6_hap1_hsa7,169393000,169394000,Eastern,13.20374679,8.571116039,0.552670917,DPP6,protein_coding,dipeptidyl peptidase like 6,1.9,99.5,
chr1_hap1_hsa1,214315000,214316000,Eastern,12.94639856,8.558372048,0.582678209,LOC112207549,snRNA,U1 spliceosomal RNA,2.2,22.8,
chr5_hap1_hsa6,174384000,174385000,Eastern,10.7941479,8.536085752,0.526735632,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase,2.8,100,
chr14_hap1_hsa13,90430000,90431000,Eastern,11.44479614,8.535288418,0.587528066,LOC134808146,lncRNA,uncharacterized LOC134808146,2.3,97.6,
chr3_hap1_hsa4,11001000,11002000,Eastern,10.34057641,8.529552977,0.760615744,LOC104005982,lncRNA,uncharacterized LOC104005982,0,60.2,
chr1_hap1_hsa1,215656000,215657000,Eastern,13.25093397,8.528027242,0.643316602,DNAJC16,protein_coding,DnaJ heat shock protein family (Hsp40) member C16,2.1,84.2,
chr9_hap1_hsa11,7787000,7788000,Eastern,10.50288594,8.5279984,0.649708735,ART1,protein_coding,ADP-ribosyltransferase 1,0,38.1,
chr11_hap1_hsa9,2162000,2163000,Eastern,12.62246424,8.527249509,0.778991716,CCDC187,protein_coding,coiled-coil domain containing 187,0,86.3,
chr23_hap1_hsa22,48857000,48858000,Western,13.94192885,8.526972512,0.939178191,TBC1D22A,protein_coding,TBC1 domain family member 22A,1.2,33.3,
chr8_hap1_hsa10,67178000,67179000,Eastern,11.79797456,8.524028142,0.761864612,PCDH15,protein_coding,protocadherin related 15,1.2,68.3,
chr11_hap1_hsa9,106274000,106275000,Western,14.57527002,8.523727536,0.807567389,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D,1.4,44.9,
chr3_hap1_hsa4,144091000,144092000,Eastern,12.19125751,8.52142669,0.55956864,INPP4B,protein_coding,inositol polyphosphate-4-phosphatase type II B,2.4,63.7,
chr20_hap1_hsa19,55570000,55571000,Western,15.6530689,8.518593964,0.722779852,LOC104001134,protein_coding,zinc finger protein 83,0,47.3,
chr7_hap1_hsa8,27539000,27540000,Eastern,12.68369986,8.513148338,0.836649817,PSD3,protein_coding,pleckstrin and Sec7 domain containing 3,3.3,94.3,
chr2_hap1_hsa3,11387000,11388000,Eastern,12.88737604,8.511839329,0.776609591,GRM7,protein_coding,glutamate metabotropic receptor 7,0,99.6,
chr2_hap1_hsa3,100308000,100309000,Eastern,10.50185049,8.503503386,0.674919907,EPHA6,protein_coding,EPH receptor A6,1.2,84.7,
chr20_hap1_hsa19,56690000,56691000,Eastern,12.51320637,8.496594548,0.290774253,LOC104003447,lncRNA,uncharacterized LOC104003447,1.7,36.7,
chr20_hap1_hsa19,59141000,59142000,Western,16.63188386,8.494154684,0.741469739,ZSCAN5C,protein_coding,zinc finger and SCAN domain containing 5C,0.4,40.4,
chr16_hap1_hsa15,63800000,63801000,Eastern,12.66113665,8.491189814,0.619473257,NR2E3,protein_coding,nuclear receptor subfamily 2 group E member 3,2.3,70.1,
chr4_hap1_hsa5,142355000,142356000,Eastern,10.21207972,8.490163306,0.556765617,LOC129144022,lncRNA,uncharacterized LOC129144022,2.2,71.2,
chr13_hap1_hsa2b,141281000,141282000,Eastern,10.95747838,8.487279918,0.755947149,HDAC4,protein_coding,histone deacetylase 4,3.5,20.4,
chr1_hap1_hsa1,11752000,11753000,Eastern,10.51863724,8.486880636,0.381407612,RYR2,protein_coding,ryanodine receptor 2,1.9,77.5,
chr14_hap1_hsa13,117592000,117593000,Eastern,12.11835698,8.483288327,0.746899362,LOC107967993,protein_coding,uncharacterized LOC107967993,1.5,43.2,
chr10_hap1_hsa12,18267000,18268000,Eastern,10.9084946,8.473791038,0.567557208,LOC100609864,protein_coding,taste receptor type 2 member 30-like,2.6,100,
chr10_hap1_hsa12,9611000,9612000,Western,14.05631338,8.451746342,0.888066559,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C,3.9,79.2,
chr16_hap1_hsa15,93191000,93192000,Eastern,10.98533631,8.447562463,0.544445347,PCSK6,protein_coding,proprotein convertase subtilisin/kexin type 6,0,51.4,
chr13_hap1_hsa2b,137713000,137714000,Eastern,12.79845886,8.434189816,0.587778221,AGAP1,protein_coding,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1,2.8,20.8,
chr20_hap1_hsa19,56135000,56136000,Eastern,12.70186571,8.429409128,0.593894006,LOC129137954,protein_coding,protein FAM90A27P-like,1.5,50.8,
chr6_hap1_hsa7,169780000,169781000,Western,19.29865972,8.423891228,0.729352825,DPP6,protein_coding,dipeptidyl peptidase like 6,0,36.7,
chr1_hap1_hsa1,205651000,205652000,Eastern,15.22401274,8.414557081,0.521195086,TMEM50A,protein_coding,transmembrane protein 50A,2.9,53.2,
chr7_hap1_hsa8,8247000,8248000,Western,16.04494655,8.402475801,0.845057085,DLGAP2,protein_coding,DLG associated protein 2,0,44.9,
chr10_hap1_hsa12,134464000,134465000,Eastern,11.50105226,8.401767468,0.743739536,LOC134807443,lncRNA,uncharacterized LOC134807443,1.9,92.9,
chr5_hap1_hsa6,38294000,38295000,Western,17.32534461,8.396662807,0.887019107,LOC134810287,lncRNA,uncharacterized LOC134810287,2.5,43.9,
chr8_hap1_hsa10,139431000,139432000,Western,14.08364923,8.395839711,0.934789068,DOCK1,protein_coding,dedicator of cytokinesis 1,2.5,75.6,
chr3_hap1_hsa4,6696000,6697000,Eastern,11.01367948,8.382892097,0.749995737,PPP2R2C,protein_coding,protein phosphatase 2 regulatory subunit Bgamma,1.3,62.9,
chr20_hap1_hsa19,57196000,57197000,Western,15.88932108,8.360856762,0.677450089,LAIR1,protein_coding,leukocyte associated immunoglobulin like receptor 1,1.1,20.4,
chr18_hap1_hsa16,79350000,79351000,Eastern,12.4647113,8.360439222,0.704472464,LOC454266,protein_coding,polycystin-1-like protein 2,1.7,90.6,
chr7_hap1_hsa8,13805000,13806000,Eastern,12.52470891,8.344608217,0.591197712,LOC134810812,protein_coding,uncharacterized LOC134810812,1.1,91.9,
chr7_hap1_hsa8,147649000,147650000,Eastern,11.44185838,8.342038233,0.522222257,LOC104007773,lncRNA,uncharacterized LOC104007773,4.1,99.5,
chr16_hap1_hsa15,10910000,10911000,Eastern,10.73766596,8.334760582,0.328826204,LOC112205572,protein_coding,serine/threonine-protein kinase Nek4-like,0,100,
chr1_hap1_hsa1,129538000,129539000,Eastern,10.54194871,8.333712454,0.694760818,LOC129144120,lncRNA,uncharacterized LOC129144120,0,100,
chr17_hap1_hsa18,68249000,68250000,Eastern,11.35223959,8.327513697,0.713790404,NEDD4L,protein_coding,NEDD4 like E3 ubiquitin protein ligase,2.9,54.3,
chr7_hap1_hsa8,132940000,132941000,Eastern,9.818927349,8.322275421,0.567393121,LOC107976429,lncRNA,uncharacterized LOC107976429,0,99.9,
chr10_hap1_hsa12,125630000,125631000,Eastern,11.80297376,8.314064794,0.59416173,LOC107967803,lncRNA,uncharacterized LOC107967803,3,99.9,
chr9_hap1_hsa11,136324000,136325000,Eastern,10.80841148,8.306408914,0.573050129,GLB1L2,protein_coding,galactosidase beta 1 like 2,3.3,42.2,
chr13_hap1_hsa2b,132614000,132615000,Eastern,12.5077759,8.291823867,0.483213801,SP140L,protein_coding,SP140 nuclear body protein like,0,76,
chr11_hap1_hsa9,108791000,108792000,Eastern,10.58009408,8.285720276,0.546582927,KDM4C,protein_coding,lysine demethylase 4C,0,92.9,
chr22_hap1_hsa21,27951000,27952000,Eastern,11.41345649,8.2854842,0.656627244,LOC129138281,lncRNA,uncharacterized LOC129138281,3.9,26.5,
chr8_hap1_hsa10,144352000,144353000,Western,14.86706308,8.282649744,0.910336744,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3,1.9,21.8,
chr1_hap1_hsa1,1189000,1190000,Eastern,13.7869676,8.278468862,0.773497872,TRIM58,protein_coding,tripartite motif containing 58,0,24.4,
chr1_hap1_hsa1,209578000,209579000,Western,14.59429727,8.275228422,0.767802292,NBPF3,protein_coding,NBPF member 3,2,49.4,
chr8_hap1_hsa10,120014000,120015000,Eastern,10.83849909,8.265123131,0.537920555,LOC134807204,lncRNA,uncharacterized LOC134807204,2.6,98.4,
chr1_hap1_hsa1,879000,880000,Eastern,12.44354216,8.26160708,0.760709693,OR2M4,protein_coding,olfactory receptor family 2 subfamily M member 4,0,100,
chr16_hap1_hsa15,92828000,92829000,Eastern,11.83834983,8.260970836,0.493197643,LRRK1,protein_coding,leucine rich repeat kinase 1,3.6,87.8,
chr18_hap1_hsa16,81860000,81861000,Western,14.42813164,8.251813804,0.805744537,CDH13,protein_coding,cadherin 13,0,100,
chr6_hap1_hsa7,83660000,83661000,Eastern,10.0862084,8.250127435,0.547007729,CALN1,protein_coding,calneuron 1,1.4,81.4,
chr10_hap1_hsa12,138617000,138618000,Eastern,19.1548855,8.247867321,0.928386224,SFSWAP,protein_coding,splicing factor SWAP,0,24.9,
chr11_hap1_hsa9,4505000,4506000,Eastern,11.87260155,8.245680902,0.814379739,VAV2,protein_coding,vav guanine nucleotide exchange factor 2,2.2,82.4,
chr22_hap1_hsa21,44336000,44337000,Eastern,11.98022027,8.243107803,0.654456916,PDXK,protein_coding,pyridoxal kinase,0.1,79.4,
chr11_hap1_hsa9,37142000,37143000,Eastern,10.1176186,8.24296512,0.628930988,PLPPR1,protein_coding,phospholipid phosphatase related 1,2.3,89.1,
chr1_hap1_hsa1,215894000,215895000,Eastern,12.22455027,8.242900982,0.827051487,FHAD1,protein_coding,forkhead associated phosphopeptide binding domain 1,0,46.4,
chr7_hap1_hsa8,9132000,9133000,Eastern,10.98835249,8.242733658,0.564046597,LOC129135632,lncRNA,uncharacterized LOC129135632,1.8,70.6,
chr12_hap1_hsa2a,110862000,110863000,Eastern,11.69319502,8.242504075,0.603033422,LOC101057707,lncRNA,uncharacterized LOC101057707,2.2,99.1,
chr19_hap1_hsa17,11787000,11788000,Eastern,11.26407849,8.239854513,0.758896178,TRARG1,protein_coding,trafficking regulator of GLUT4 (SLC2A4) 1,1.4,48.6,
chr22_hap1_hsa21,22827000,22828000,Eastern,12.05206582,8.236801099,0.55536003,LOC104005712,lncRNA,uncharacterized LOC104005712,2.4,99.9,
chr20_hap1_hsa19,55969000,55970000,Eastern,12.5849633,8.234486063,0.623751756,ZNF415,protein_coding,zinc finger protein 415,1.2,37.1,
chr3_hap1_hsa4,173917000,173918000,Eastern,11.56189641,8.233624255,0.390049985,GALNTL6,protein_coding,polypeptide N-acetylgalactosaminyltransferase like 6,0,100,
chr2_hap1_hsa3,180689000,180690000,Eastern,10.3115082,8.232548088,0.411064412,LOC129143556,lncRNA,uncharacterized LOC129143556,2.6,95,
chr7_hap1_hsa8,15363000,15364000,Eastern,10.78603439,8.231536582,0.755290745,LOC104004250,lncRNA,uncharacterized LOC104004250,1.5,95,
chr10_hap1_hsa12,84445000,84446000,Eastern,10.77921072,8.231085168,0.768033381,NAV3,protein_coding,neuron navigator 3,0,84.9,
chr19_hap1_hsa17,58862000,58863000,Eastern,11.5049924,8.220754711,0.738348731,DNAH9,protein_coding,dynein axonemal heavy chain 9,1.5,75,
chr9_hap1_hsa11,9137000,9138000,Western,12.91197056,8.21930461,0.873194327,MMP26,protein_coding,matrix metallopeptidase 26,2.3,100,
chr20_hap1_hsa19,55138000,55139000,Western,13.04101462,8.2156403,0.886090905,ZNF766,protein_coding,zinc finger protein 766,4.1,60.3,
chr9_hap1_hsa11,84234000,84235000,Eastern,10.69186984,8.20641073,0.594015516,LOC107967178,lncRNA,uncharacterized LOC107967178,2.6,99.3,
chr9_hap1_hsa11,4360000,4361000,Western,14.82527672,8.197931229,0.80739156,LOC112207799,protein_coding,uncharacterized LOC112207799,1.8,22.6,
chr8_hap1_hsa10,19707000,19708000,Eastern,10.60755344,8.193345004,0.721473962,LOC107976907,protein_coding,endogenous retrovirus group K member 16 Rec protein,1.4,59.6,
chr1_hap1_hsa1,125303000,125304000,Eastern,10.43728653,8.192928691,0.709514053,LOC107967526,lncRNA,uncharacterized LOC107967526,0,99.9,
chr20_hap1_hsa19,55975000,55976000,Eastern,10.72389971,8.186803027,0.670290148,ZNF347,protein_coding,zinc finger protein 347,4.1,84.9,
chr8_hap1_hsa10,29183000,29184000,Eastern,11.52406812,8.182171759,0.408553113,LOC129136252,lncRNA,uncharacterized LOC129136252,0,88.9,
chr13_hap1_hsa2b,129450000,129451000,Eastern,9.691242694,8.182069102,0.675233253,COL4A3,protein_coding,collagen type IV alpha 3 chain,0,100,
chr13_hap1_hsa2b,39302000,39303000,Eastern,10.92202088,8.177614371,0.651756458,THSD7B,protein_coding,thrombospondin type 1 domain containing 7B,2.3,29.8,
chr16_hap1_hsa15,93080000,93081000,Eastern,11.73411686,8.173854238,0.723981791,CHSY1,protein_coding,chondroitin sulfate synthase 1,2,82.6,
chr10_hap1_hsa12,89763000,89764000,Eastern,11.71607014,8.172886764,0.425482185,TMTC2,protein_coding,transmembrane O-mannosyltransferase targeting cadherins 2,4.1,100,
chr18_hap1_hsa16,21669000,21670000,Eastern,10.95416104,8.166466565,0.785184796,TMC7,protein_coding,transmembrane channel like 7,4.4,88.1,
chr10_hap1_hsa12,132973000,132974000,Eastern,11.11483722,8.157929478,0.672281324,LOC104001735,protein_coding,uncharacterized LOC104001735,1.4,89.4,
chr2_hap1_hsa3,4410000,4411000,Eastern,10.51061116,8.154636182,0.640340508,CHL1,protein_coding,cell adhesion molecule L1 like,0,48.9,
chr20_hap1_hsa19,59634000,59635000,Western,13.82131006,8.148221726,0.892136677,LOC104003467,protein_coding,olfactory receptor 1L4-like,2.1,80,
chr16_hap1_hsa15,7021000,7022000,Eastern,10.07360313,8.145673642,0.481680339,LOC453251,protein_coding,putative HERC2-like protein 3,2.2,36.6,
chr20_hap1_hsa19,11713000,11714000,Eastern,9.925158306,8.140362419,0.688103313,MUC16,protein_coding,mucin 16%2C cell surface associated,3.9,67.4,
chr10_hap1_hsa12,135416000,135417000,Eastern,9.991825337,8.139291282,0.618628816,TMEM132C,protein_coding,transmembrane protein 132C,0,100,
chr3_hap1_hsa4,2051000,2052000,Western,14.09175515,8.136562906,0.694027857,FAM53A,protein_coding,family with sequence similarity 53 member A,1.9,62.1,
chr8_hap1_hsa10,140179000,140180000,Eastern,12.90953406,8.134217768,0.740879335,PTPRE,protein_coding,protein tyrosine phosphatase receptor type E,0,48.1,
chr10_hap1_hsa12,17371000,17372000,Eastern,10.71381437,8.131482507,0.626467673,KLRD1,protein_coding,killer cell lectin like receptor D1,3.2,85.4,
chr7_hap1_hsa8,63966000,63967000,Eastern,11.56058834,8.126691548,0.80711445,XKR4,protein_coding,XK related 4,0,36.2,
chr1_hap1_hsa1,226118000,226119000,Eastern,11.84606326,8.125398303,0.646752799,NPHP4,protein_coding,nephrocystin 4,1.6,71.9,
chr13_hap1_hsa2b,130349000,130350000,Eastern,10.08965728,8.119891606,0.603156694,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing,4.2,90.5,
chr3_hap1_hsa4,188845000,188846000,Eastern,11.81424861,8.119490539,0.582327298,LOC107974135,lncRNA,uncharacterized LOC107974135,2.5,85.6,
chr3_hap1_hsa4,61355000,61356000,Eastern,11.88958758,8.114355431,0.506097915,LOC461289,protein_coding,UDP-glucuronosyltransferase 2B15,3.5,93.6,
chr1_hap1_hsa1,208838000,208839000,Eastern,12.03870592,8.106282732,0.511449875,LOC129143479,lncRNA,uncharacterized LOC129143479,1.3,50.6,
chr7_hap1_hsa8,8978000,8979000,Eastern,12.21454768,8.10613319,0.77769056,MYOM2,protein_coding,myomesin 2,2.6,99.7,
chr3_hap1_hsa4,189794000,189795000,Eastern,11.90632212,8.105648187,0.738811449,TRIML1,protein_coding,tripartite motif family like 1,1.5,88.9,
chr19_hap1_hsa17,59851000,59852000,Eastern,11.9575269,8.101310694,0.45123101,LOC104002919,lncRNA,uncharacterized LOC104002919,3.5,79.4,
chr20_hap1_hsa19,59175000,59176000,Eastern,14.73096066,8.101159885,0.987744372,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A,1.8,21.4,
chr5_hap1_hsa6,38528000,38529000,Eastern,12.11812856,8.098896295,0.242316657,PATR-DQB1,protein_coding,major histocompatibility complex%2C class II%2C DQ beta 1,2.5,99,
chr1_hap1_hsa1,59940000,59941000,Eastern,10.26337652,8.093612412,0.725125866,LOC112206075,lncRNA,uncharacterized LOC112206075,4.8,49.9,
chr8_hap1_hsa10,28818000,28819000,Eastern,11.68381852,8.084873699,0.671090705,ITGA8,protein_coding,integrin subunit alpha 8,3,88.7,
chr22_hap1_hsa21,45147000,45148000,Western,17.10430088,8.082895792,0.988144109,LOC100613395,lncRNA,uncharacterized LOC100613395,1.7,46,
chr10_hap1_hsa12,16618000,16619000,Eastern,9.672391288,8.07983569,0.724842295,LOC451825,protein_coding,ATP-dependent DNA helicase DDX11-like,2.9,30.2,
chr6_hap1_hsa7,174005000,174006000,Eastern,12.63374161,8.074261183,0.551694562,DYNC2I1,protein_coding,dynein 2 intermediate chain 1,1.2,26.4,
chr2_hap1_hsa3,4356000,4357000,Western,12.2442248,8.072894816,0.740949032,CHL1,protein_coding,cell adhesion molecule L1 like,1.6,93.7,
chr7_hap1_hsa8,16490000,16491000,Western,11.93190981,8.066107271,0.920649764,MSRA,protein_coding,methionine sulfoxide reductase A,0,21.2,
chr23_hap1_hsa22,52159000,52160000,Eastern,11.67092602,8.06323648,0.382892918,TTLL8,protein_coding,tubulin tyrosine ligase like 8,4.5,84.2,
chr17_hap1_hsa18,77867000,77868000,Eastern,10.28434598,8.060364061,0.755829927,LOC134808625,lncRNA,uncharacterized LOC134808625,1.5,99.9,
chr6_hap1_hsa7,170491000,170492000,Eastern,15.29648556,8.05627045,0.766905001,LOC134810599,lncRNA,uncharacterized LOC134810599,2.7,33.3,
chr18_hap1_hsa16,87433000,87434000,Eastern,10.98088719,8.055141721,0.866321457,LOC101058970,protein_coding,uncharacterized LOC101058970,0,41.9,
chr1_hap1_hsa1,209578000,209579000,Eastern,14.59429727,8.052984075,0.788991918,NBPF3,protein_coding,NBPF member 3,2,49.4,
chr3_hap1_hsa4,71765000,71766000,Eastern,10.02338438,8.051469665,0.539005993,LOC107974311,lncRNA,uncharacterized LOC107974311,0,85.6,
chr19_hap1_hsa17,11340000,11341000,Western,13.22421271,8.047963222,0.903763308,NXN,protein_coding,nucleoredoxin,4.2,22.4,
chr8_hap1_hsa10,25692000,25693000,Eastern,11.31968142,8.047654089,0.758444978,CAMK1D,protein_coding,calcium/calmodulin dependent protein kinase ID,2.5,50.4,
chr12_hap1_hsa2a,91928000,91929000,Western,13.69836327,8.045155278,0.931146729,GALNT14,protein_coding,polypeptide N-acetylgalactosaminyltransferase 14,1.6,92.9,
chr18_hap1_hsa16,76836000,76837000,Eastern,12.02465448,8.044334968,0.470039012,WWOX,protein_coding,WW domain containing oxidoreductase,0,83.7,
chr19_hap1_hsa17,96178000,96179000,Eastern,14.04457992,8.042170136,0.518909388,TBCD,protein_coding,tubulin folding cofactor D,0,47,
chr11_hap1_hsa9,97265000,97266000,Western,14.72179467,8.04011672,1.045567401,ADAMTSL1,protein_coding,ADAMTS like 1,1.1,21.2,
chr20_hap1_hsa19,58851000,58852000,Eastern,12.2711464,8.038094805,0.493811761,NLRP13,protein_coding,NLR family pyrin domain containing 13,0,78,
chr5_hap1_hsa6,19363000,19364000,Eastern,10.72804631,8.036412986,0.421983172,GFOD1,protein_coding,Gfo/Idh/MocA-like oxidoreductase domain containing 1,0,85.4,
chr18_hap1_hsa16,2458000,2459000,Eastern,11.08485998,8.034432048,0.670329243,NPRL3,protein_coding,NPR3 like%2C GATOR1 complex subunit,3.8,37.7,
chr5_hap1_hsa6,35680000,35681000,Western,14.24959436,8.033151486,0.907017701,LOC134810183,protein_coding,MHC class I polypeptide-related sequence B-like,2.2,65.2,
chr13_hap1_hsa2b,115758000,115759000,Eastern,9.720343183,8.032140383,0.508524477,SPAG16,protein_coding,sperm associated antigen 16,1.9,97.5,
chr23_hap1_hsa22,51469000,51470000,Eastern,11.67196167,8.027982592,0.608144571,LOC107970285,lncRNA,uncharacterized LOC107970285,0,87.5,
chr6_hap1_hsa7,168026000,168027000,Western,13.5358926,8.026132224,0.875066968,ACTR3B,protein_coding,actin related protein 3B,0,99.9,
chr6_hap1_hsa7,52831000,52832000,Eastern,11.23741795,8.018691651,0.767940797,LOC107975793,lncRNA,uncharacterized LOC107975793,4.2,45.7,
chr2_hap1_hsa3,197633000,197634000,Western,14.1388514,8.008045063,0.900953422,ATP13A3,protein_coding,ATPase 13A3,2.8,52.2,
chr20_hap1_hsa19,58975000,58976000,Eastern,11.13862118,8.007759111,0.615509532,NLRP5,protein_coding,NLR family pyrin domain containing 5,1.5,36.3,
chr18_hap1_hsa16,82568000,82569000,Eastern,11.34760735,7.996782529,0.785269194,ATP2C2,protein_coding,ATPase secretory pathway Ca2+ transporting 2,3.2,81.9,
chr20_hap1_hsa19,12788000,12789000,Western,14.89838771,7.995029278,0.936290525,LOC468717,protein_coding,putative protein C3P1,1.4,50.6,
chr9_hap1_hsa11,30241000,30242000,Eastern,11.94518116,7.990393813,0.508316449,ANO3,protein_coding,anoctamin 3,4.2,80.5,
chr11_hap1_hsa9,115041000,115042000,Eastern,12.27262679,7.986158089,0.433124468,DMRT1,protein_coding,doublesex and mab-3 related transcription factor 1,3.3,76.9,
chr10_hap1_hsa12,9003000,9004000,Eastern,11.59623251,7.985802865,0.598628081,CACNA2D4,protein_coding,calcium voltage-gated channel auxiliary subunit alpha2delta 4,0,68,
